news_headline,news_article,news_category,full_text,clean_text
"SRH register their 1st win in IPL 2020, hand DC their first defeat","SunRisers Hyderabad defeated Delhi Capitals by 15 runs to register their first win in IPL 2020. This is Delhi Capitals' first defeat of the season. Further, SRH ended their five-match losing streak in IPL which dated back to the last season. SRH's Jonny Bairstow top-scored in the match with 53(48), while leg-spinner Rashid Khan registered bowling figures of 4-0-14-3.",sports,"SRH register their 1st win in IPL 2020, hand DC their first defeat. SunRisers Hyderabad defeated Delhi Capitals by 15 runs to register their first win in IPL 2020. This is Delhi Capitals' first defeat of the season. Further, SRH ended their five-match losing streak in IPL which dated back to the last season. SRH's Jonny Bairstow top-scored in the match with 53(48), while leg-spinner Rashid Khan registered bowling figures of 4-0-14-3.",srh register st win ipl hand dc first defeat sunriser hyderabad defeat delhi capital run register first win ipl delhi capital first defeat season far srh end five match lose streak ipl date back last season srhs jonny bairstow top score match leg spinner rashid khan register bowling figure
Matter blown out of proportion: CSK CEO on reports of Asif breaking bio-secure bubble,"CSK CEO Kasi Viswanathan has rubbished reports of pacer KM Asif breaking bio-secure bubble. “The fact he lost room key and went for a replacement is true but he didn’t go to regular staff but to the designated desk,” he added. “The matter has been blown out of proportion and facts need to be kept in mind,” he further said. ",sports,"Matter blown out of proportion: CSK CEO on reports of Asif breaking bio-secure bubble. CSK CEO Kasi Viswanathan has rubbished reports of pacer KM Asif breaking bio-secure bubble. “The fact he lost room key and went for a replacement is true but he didn’t go to regular staff but to the designated desk,” he added. “The matter has been blown out of proportion and facts need to be kept in mind,” he further said. ",matter blow proportion csk ceo report asif break bio secure bubble csk ceo kasi viswanathan rubbish report pacer km asif break bio secure bubble fact lose room key go replacement true not go regular staff designate desk add matter blow proportion fact need keep mind say
Which players have ended on the losing side on most occasions in IPL history?,"Rajasthan Royals batsman Robin Uthappa on Wednesday became the player who has ended on the losing side on most occasions in IPL history. Uthappa has been part of a losing side 91 times out of his total 180 IPL matches. He is followed by Royal Challengers Bangalore captain Virat Kohli, who has lost 90 IPL matches out of 180. ",sports,"Which players have ended on the losing side on most occasions in IPL history?. Rajasthan Royals batsman Robin Uthappa on Wednesday became the player who has ended on the losing side on most occasions in IPL history. Uthappa has been part of a losing side 91 times out of his total 180 IPL matches. He is followed by Royal Challengers Bangalore captain Virat Kohli, who has lost 90 IPL matches out of 180. ",player end losing side occasion ipl history rajasthan royals batsman robin uthappa wednesday become player end losing side occasion ipl history uthappa part lose side time total ipl match follow royal challenger bangalore captain virat kohli lose ipl match
The size of the boundary doesn't matter if I middle the ball: SRH's Abdul Samad,"SRH's 18-year-old batsman Abdul Samad, who made his IPL debut against DC on Tuesday, has said the size of the boundary doesn't matter to him. ""I know that if I hit from the middle of the bat, the ball will go over the ropes,"" he added. He further said that he gained confidence with his first six of the tournament.",sports,"The size of the boundary doesn't matter if I middle the ball: SRH's Abdul Samad. SRH's 18-year-old batsman Abdul Samad, who made his IPL debut against DC on Tuesday, has said the size of the boundary doesn't matter to him. ""I know that if I hit from the middle of the bat, the ball will go over the ropes,"" he added. He further said that he gained confidence with his first six of the tournament.",size boundary not matter middle ball srhs abdul samad srhs year old batsman abdul samad make ipl debut dc tuesday say size boundary not matter know hit middle bat ball go rope add say gain confidence first six tournament
Karthik should open for KKR instead of Narine: Madan Lal,"Former India cricketer Madan Lal has said that it would be better if Dinesh Karthik opens for KKR instead of Sunil Narine. “Narine is not able to play the big hits now,” he added. “I will have a proper batsman with Gill because in first 6 overs even if a proper batsman comes, they’ll score 50-60 runs,” he further said.",sports,"Karthik should open for KKR instead of Narine: Madan Lal. Former India cricketer Madan Lal has said that it would be better if Dinesh Karthik opens for KKR instead of Sunil Narine. “Narine is not able to play the big hits now,” he added. “I will have a proper batsman with Gill because in first 6 overs even if a proper batsman comes, they’ll score 50-60 runs,” he further said.",karthik open kkr instead narine madan lal former india cricketer madan lal say would well dinesh karthik open kkr instead sunil narine narine not able play big hit add proper batsman gill first even proper batsman come score run say
I enjoy bowling in powerplay: RCB off-spinner Washington Sundar,"RCB off-spinner Washington Sundar, who registered bowling figures of 4-0-12-1 against MI, has said that he was ""very happy"" to be given bowling in the powerplay. ""Feeling really good, I did some planning coming to this game, and I was very happy I was given this role and I enjoy bowling in the powerplay,"" he added.",sports,"I enjoy bowling in powerplay: RCB off-spinner Washington Sundar. RCB off-spinner Washington Sundar, who registered bowling figures of 4-0-12-1 against MI, has said that he was ""very happy"" to be given bowling in the powerplay. ""Feeling really good, I did some planning coming to this game, and I was very happy I was given this role and I enjoy bowling in the powerplay,"" he added.",enjoy bowl powerplay rcb spinner washington sundar rcb spinner washington sundar register bowling figure mi say happy give bowling powerplay feel really good planning come game happy give role enjoy bowling powerplay add
"I have received around 1,000 congratulatory calls, got a headache: Tewatia's father","RR all-rounder Rahul Tewatia's father has said that around 400 people visited his house on Sunday and he has received about a 1,000 calls following Rahul's match-winning performance against KXIP. ""I received so many calls...I got a headache...I'm overwhelmed,"" he added. He said people told him Rahul wasn't just his son but that he was the ""son of the village''.",sports,"I have received around 1,000 congratulatory calls, got a headache: Tewatia's father. RR all-rounder Rahul Tewatia's father has said that around 400 people visited his house on Sunday and he has received about a 1,000 calls following Rahul's match-winning performance against KXIP. ""I received so many calls...I got a headache...I'm overwhelmed,"" he added. He said people told him Rahul wasn't just his son but that he was the ""son of the village''.",receive around congratulatory call get headache tewatias father rr rounder rahul tewatias father say around people visit house sunday receive call follow rahuls match win performance kxip receive many call get headache overwhelmed add say people tell rahul not son son village
Jofra Archer has bowled 16 of the 20 fastest deliveries in IPL 2020 so far,"Rajasthan Royals fast bowler Jofra Archer has bowled 16 of the 20 fastest deliveries in IPL 2020, including the seven fastest. He has clocked 150 kmph thrice, with the speed of the fastest delivery being 152.13 kmph. Delhi Capitals’ Kagiso Rabada had bowled the four fastest deliveries in IPL 2019, with the fastest being 154.23 kmph.",sports,"Jofra Archer has bowled 16 of the 20 fastest deliveries in IPL 2020 so far. Rajasthan Royals fast bowler Jofra Archer has bowled 16 of the 20 fastest deliveries in IPL 2020, including the seven fastest. He has clocked 150 kmph thrice, with the speed of the fastest delivery being 152.13 kmph. Delhi Capitals’ Kagiso Rabada had bowled the four fastest deliveries in IPL 2019, with the fastest being 154.23 kmph.",jofra archer bowl fast delivery ipl far rajasthan royal fast bowler jofra archer bowl fast delivery ipl include seven fast clock kmph thrice speed fast delivery kmph delhi capitals kagiso rabada bowl four fast delivery ipl fast kmph
"RR's Robin Uthappa caught applying saliva on the ball during match, pics surface",RR's Robin Uthappa was caught applying saliva to shine the ball during his team's IPL 2020 match against KKR on Wednesday. The incident took place on the fifth ball of the third over of KKR’s innings. Uthappa was seen applying saliva after dropping Sunil Narine's catch. The ICC has banned use of saliva on ball due to coronavirus threat.,sports,"RR's Robin Uthappa caught applying saliva on the ball during match, pics surface. RR's Robin Uthappa was caught applying saliva to shine the ball during his team's IPL 2020 match against KKR on Wednesday. The incident took place on the fifth ball of the third over of KKR’s innings. Uthappa was seen applying saliva after dropping Sunil Narine's catch. The ICC has banned use of saliva on ball due to coronavirus threat.",rrs robin uthappa catch apply saliva ball match pic surface rrs robin uthappa catch apply saliva shine ball team ipl match kkr wednesday incident take place fifth ball third kkrs innings uthappa see apply saliva drop sunil narines catch icc ban use saliva ball due coronavirus threat
Shubman Gill can lead an IPL side at 22-23: Simon Doull,"Ex-New Zealand cricketer Simon Doull has said that 21-year-old Shubman Gill has the potential to lead an IPL side at the age of 22-23. ""I think he should spend a lot of time with Dinesh Karthik and Eoin Morgan and pick their brains. He also has Brendon McCullum...one of the most innovative captains in the last 7-9 years,"" added Doull.",sports,"Shubman Gill can lead an IPL side at 22-23: Simon Doull. Ex-New Zealand cricketer Simon Doull has said that 21-year-old Shubman Gill has the potential to lead an IPL side at the age of 22-23. ""I think he should spend a lot of time with Dinesh Karthik and Eoin Morgan and pick their brains. He also has Brendon McCullum...one of the most innovative captains in the last 7-9 years,"" added Doull.",shubman gill lead ipl side simon doull ex new zealand cricketer simon doull say year old shubman gill potential lead ipl side age think spend lot time dinesh karthik eoin morgan pick brain also brendon mccullum one innovative captain last year add doull
I know how much it hurts when you bang your head like this: Sachin on Samson’s catch,"Reacting to RR’s Sanju Samson taking a leaping catch to dismiss KKR’s Pat Cummins and then banging his head on the ground, Sachin Tendulkar tweeted, “I know how much it hurts when you bang your head like this on the ground.” He added, “I experienced it in 1992 World Cup in our match against WI when I took a catch.”",sports,"I know how much it hurts when you bang your head like this: Sachin on Samson’s catch. Reacting to RR’s Sanju Samson taking a leaping catch to dismiss KKR’s Pat Cummins and then banging his head on the ground, Sachin Tendulkar tweeted, “I know how much it hurts when you bang your head like this on the ground.” He added, “I experienced it in 1992 World Cup in our match against WI when I took a catch.”",know much hurt bang head like sachin samson catch react rrs sanju samson take leap catch dismiss kkrs pat cummin bang head ground sachin tendulkar tweeted know much hurt bang head like ground add experience world cup match wi take catch
Stokes shares pic of troll saying 'Hope you become disabled & your family dies',"England all-rounder Ben Stokes shared a screenshot of hate messages sent to him by a troll. ""I hope you become disabled stuck to a wheelchair and your whole family dies...And when that happens I hope you get robbed so then you are lonely and poor,"" the troll wrote. ""Some of the stuff you get sent is just [disgusting],"" Stokes wrote.",sports,"Stokes shares pic of troll saying 'Hope you become disabled & your family dies'. England all-rounder Ben Stokes shared a screenshot of hate messages sent to him by a troll. ""I hope you become disabled stuck to a wheelchair and your whole family dies...And when that happens I hope you get robbed so then you are lonely and poor,"" the troll wrote. ""Some of the stuff you get sent is just [disgusting],"" Stokes wrote.",stokes shares pic troll say hope become disabled family die england rounder ben stokes share screenshot hate message send troll hope become disabled stuck wheelchair whole family die happen hope get rob lonely poor troll write stuff get send [ disgusting ] stoke write
Bradman considered me the fastest bowler: Ex-Pak pacer claims he bowled at 180 kmph,"Former Pakistan fast bowler Farooq Hamid has claimed that Sir Donald Bradman, Imtiaz Ahmed and Zaheer Abbas among other cricketers considered him as the fastest bowler. He added that during Commonwealth XI team's tour of Pakistan, he must have been bowling at around 180 kmph. He further said he quit cricket aged 25 due to politics in Pakistan cricket. ",sports,"Bradman considered me the fastest bowler: Ex-Pak pacer claims he bowled at 180 kmph. Former Pakistan fast bowler Farooq Hamid has claimed that Sir Donald Bradman, Imtiaz Ahmed and Zaheer Abbas among other cricketers considered him as the fastest bowler. He added that during Commonwealth XI team's tour of Pakistan, he must have been bowling at around 180 kmph. He further said he quit cricket aged 25 due to politics in Pakistan cricket. ",bradman consider fast bowler ex pak pacer claim bowl kmph former pakistan fast bowler farooq hamid claim sir donald bradman imtiaz ahmed zaheer abbas among cricketer consider fast bowler add commonwealth xi team tour pakistan must bowl around kmph say quit cricket aged due politic pakistan cricket
Loving a white man doesn't mean I'm embarrassed to be an Indian: Maxwell's fiancée,"Australian all-rounder Glenn Maxwell's fiancée Vini Raman took to Instagram to respond to a man asking her to ditch the ""mentally troubled white boy"" and ""get an Indian boyfriend"". ""Unlike you...I don't see colour, I can love someone regardless of their nationality or ethnicity,"" she wrote. She added, ""Loving a white person doesn't mean I'm embarrassed to be an Indian.""",sports,"Loving a white man doesn't mean I'm embarrassed to be an Indian: Maxwell's fiancée. Australian all-rounder Glenn Maxwell's fiancée Vini Raman took to Instagram to respond to a man asking her to ditch the ""mentally troubled white boy"" and ""get an Indian boyfriend"". ""Unlike you...I don't see colour, I can love someone regardless of their nationality or ethnicity,"" she wrote. She added, ""Loving a white person doesn't mean I'm embarrassed to be an Indian.""",love white man not mean embarrassed indian maxwells fiancee australian rounder glenn maxwells fiancee vini raman take instagram respond man ask ditch mentally troubled white boy get indian boyfriend unlike not see colour love someone regardless nationality ethnicity write add love white person not mean embarrassed indian
Serena Williams out of French Open with achilles injury,"Serena Williams has pulled out of French Open because of an achilles injury. The 23-time Grand Slam champion said she had a short warmup and decided she couldn’t continue. She was scheduled to play Tsvetana Pironkova in the second round. “I think I need four-to-six weeks of sitting and doing nothing...at least two weeks of just sitting down,” Williams added.",sports,"Serena Williams out of French Open with achilles injury. Serena Williams has pulled out of French Open because of an achilles injury. The 23-time Grand Slam champion said she had a short warmup and decided she couldn’t continue. She was scheduled to play Tsvetana Pironkova in the second round. “I think I need four-to-six weeks of sitting and doing nothing...at least two weeks of just sitting down,” Williams added.",serena williams french open achilles injury serena williams pull french open achille injury time grand slam champion say short warmup decide could not continue schedule play tsvetana pironkova second round think need four six week sit nothing least two week sit williams add
Ex-PL footballer to sue 19-yr-old woman over claims he paid her ₹4.8 lakh for sex,"Ex-Tottenham Hotspur midfielder Victor Wanyama has announced he'll take legal action after a video circulated online of a 19-year-old woman claiming he paid her $6,450 (₹4.8 lakh) for a one-night stand. ""I wish to distance myself completely from contents of this defamatory video. Allegations made...are a total fabrication and a figment of the maker’s imagination at best,"" he tweeted.",sports,"Ex-PL footballer to sue 19-yr-old woman over claims he paid her ₹4.8 lakh for sex. Ex-Tottenham Hotspur midfielder Victor Wanyama has announced he'll take legal action after a video circulated online of a 19-year-old woman claiming he paid her $6,450 (₹4.8 lakh) for a one-night stand. ""I wish to distance myself completely from contents of this defamatory video. Allegations made...are a total fabrication and a figment of the maker’s imagination at best,"" he tweeted.",ex pl footballer sue yr old woman claim pay lakh sex ex tottenham hotspur midfielder victor wanyama announce take legal action video circulate online year old woman claim pay lakh one night stand wish distance completely content defamatory video allegation make total fabrication figment maker imagination good tweet
"Ok, ok, I'll upgrade: Hillary Clinton after hitting Zoom time limit on live TV","Former US presidential candidate Hillary Clinton was prompted with a time limit notification during a virtual TV interview being conducted over Zoom. ""Your meeting will end in 10 min. Contact your IT team to upgrade to Zoom Pro for unlimited group meeting minutes,"" the message read. After screengrabs of the interview went viral, Hillary Clinton tweeted, ""Ok, ok, I'll upgrade.""",world,"Ok, ok, I'll upgrade: Hillary Clinton after hitting Zoom time limit on live TV. Former US presidential candidate Hillary Clinton was prompted with a time limit notification during a virtual TV interview being conducted over Zoom. ""Your meeting will end in 10 min. Contact your IT team to upgrade to Zoom Pro for unlimited group meeting minutes,"" the message read. After screengrabs of the interview went viral, Hillary Clinton tweeted, ""Ok, ok, I'll upgrade.""",ok ok upgrade hillary clinton hit zoom time limit live tv former us presidential candidate hillary clinton prompt time limit notification virtual tv interview conduct zoom meeting end min contact team upgrade zoom pro unlimited group meeting minute message read screengrab interview go viral hillary clinton tweet ok ok upgrade
Millions of Chinese people travel in 'revenge tourism' after lockdowns,Millions of Chinese people are travelling across the country in what the state media described as 'revenge tourism' in a bid to boost the economy following months of lockdowns and restrictions on their movement due to the COVID-19 pandemic. China expects around 550 million people will make trips within the country during an eight-day public holiday.,world,Millions of Chinese people travel in 'revenge tourism' after lockdowns. Millions of Chinese people are travelling across the country in what the state media described as 'revenge tourism' in a bid to boost the economy following months of lockdowns and restrictions on their movement due to the COVID-19 pandemic. China expects around 550 million people will make trips within the country during an eight-day public holiday.,million chinese people travel revenge tourism lockdown million chinese people travel across country state medium describe revenge tourism bid boost economy follow month lockdown restriction movement due covid pandemic china expect around million people make trip within country eight day public holiday
Maldives 1st country to launch loyalty programme to reward tourists with points,"The Maldives has become the world's first country to offer tourists a loyalty programme wherein they can earn points based on the number of visits and duration of stay. The 'Maldives Border Miles' programme will have three tiers, with each tier offering a variety of rewards, services and benefits. Additional points will be awarded for visits to celebrate special occasions.",world,"Maldives 1st country to launch loyalty programme to reward tourists with points. The Maldives has become the world's first country to offer tourists a loyalty programme wherein they can earn points based on the number of visits and duration of stay. The 'Maldives Border Miles' programme will have three tiers, with each tier offering a variety of rewards, services and benefits. Additional points will be awarded for visits to celebrate special occasions.",maldives st country launch loyalty programme reward tourist point maldive become world first country offer tourist loyalty programme wherein earn point base number visit duration stay maldives border mile programme three tier tier offer variety reward service benefit additional point award visit celebrate special occasion
"Double moonbow with northern lights spotted in Scotland, pics go viral","Double moonbow with northern lights were spotted in northern Scotland recently. Photos taken at Durness by Andy Walker have gone viral on social media. Moonbow or the lunar rainbow is a rare optical phenomenon which is caused when the light from the moon is refracted through water droplets in the air. ""The moon totally destroyed it,"" a user commented.",world,"Double moonbow with northern lights spotted in Scotland, pics go viral. Double moonbow with northern lights were spotted in northern Scotland recently. Photos taken at Durness by Andy Walker have gone viral on social media. Moonbow or the lunar rainbow is a rare optical phenomenon which is caused when the light from the moon is refracted through water droplets in the air. ""The moon totally destroyed it,"" a user commented.",double moonbow northern light spot scotland pic go viral double moonbow northern light spot northern scotland recently photo take durness andy walker go viral social medium moonbow lunar rainbow rare optical phenomenon cause light moon refract water droplet air moon totally destroy user comment
"India moves Nirbhay missiles with 1,000-km range to defend LAC: Report","India has moved several Nirbhay subsonic cruise missiles to the LAC where India and China are locked in a standoff, according to a report. The 1,000-km range solid rocket booster missiles have a single shot kill ratio of over 90%, the report added. The Nirbhay missile is yet to be inducted into Army although its formal induction has been cleared.",world,"India moves Nirbhay missiles with 1,000-km range to defend LAC: Report. India has moved several Nirbhay subsonic cruise missiles to the LAC where India and China are locked in a standoff, according to a report. The 1,000-km range solid rocket booster missiles have a single shot kill ratio of over 90%, the report added. The Nirbhay missile is yet to be inducted into Army although its formal induction has been cleared.",india moves nirbhay missile km range defend lac report india move several nirbhay subsonic cruise missile lac india china lock standoff accord report km range solid rocket booster missile single shot kill ratio report add nirbhay missile yet induct army although formal induction clear
EU launches legal action against UK for breaching withdrawal agreement,"The European Commission on Thursday sent the UK a letter of formal notice for breaching its obligations under the withdrawal agreement, marking the beginning of a formal infringement process against the UK. The UK was put on formal notice over the Internal Market Bill, which ministers admit breaks international law. The UK has one month to reply to today's letter.",world,"EU launches legal action against UK for breaching withdrawal agreement. The European Commission on Thursday sent the UK a letter of formal notice for breaching its obligations under the withdrawal agreement, marking the beginning of a formal infringement process against the UK. The UK was put on formal notice over the Internal Market Bill, which ministers admit breaks international law. The UK has one month to reply to today's letter.",eu launch legal action uk breach withdrawal agreement european commission thursday send uk letter formal notice breach obligation withdrawal agreement mark beginning formal infringement process uk uk put formal notice internal market bill minister admit break international law uk one month reply today letter
World's first person cured of HIV dies from blood cancer,"Timothy Ray Brown, first person known to be cured of HIV, has died aged 54 in the US after relapsing with blood cancer. In 2006, Brown was diagnosed with leukaemia, which returned last year and spread to his spine and brain. He had a bone marrow transplant from a donor with a natural resistance to the AIDS virus in 2008.",world,"World's first person cured of HIV dies from blood cancer. Timothy Ray Brown, first person known to be cured of HIV, has died aged 54 in the US after relapsing with blood cancer. In 2006, Brown was diagnosed with leukaemia, which returned last year and spread to his spine and brain. He had a bone marrow transplant from a donor with a natural resistance to the AIDS virus in 2008.",world first person cure hiv die blood cancer timothy ray brown first person know cure hiv die aged us relapse blood cancer brown diagnose leukaemia return last year spread spine brain bone marrow transplant donor natural resistance aids virus
Putin was behind my poisoning: Russian opposition leader Navalny,"Russian opposition leader Alexey Navalny has accused Russian President Vladimir Putin of being behind his recent poisoning using nerve agent Novichok. Navalny, who is currently recovering from the poisoning in Germany, said, ""I have no other explanation for what happened."" ""I would not give Putin the gift of not returning to Russia,"" he added.",world,"Putin was behind my poisoning: Russian opposition leader Navalny. Russian opposition leader Alexey Navalny has accused Russian President Vladimir Putin of being behind his recent poisoning using nerve agent Novichok. Navalny, who is currently recovering from the poisoning in Germany, said, ""I have no other explanation for what happened."" ""I would not give Putin the gift of not returning to Russia,"" he added.",putin behind poisoning russian opposition leader navalny russian opposition leader alexey navalny accuse russian president vladimir putin behind recent poisoning use nerve agent novichok navalny currently recover poisoning germany say no explanation happen would not give putin gift not return russia add
Donald Trump credits McDonald's food for retaining his hair,"US President Donald Trump has credited McDonald's food for retaining his hair. ""No wonder I didn't lose my hair!"" Trump tweeted, sharing a 2018 tweet from former White House press secretary Ari Fleischer, with a news story claiming that a chemical in McDonald's fries may cure baldness. ""It doesn't work,"" wrote Fleischer, who is bald.",world,"Donald Trump credits McDonald's food for retaining his hair. US President Donald Trump has credited McDonald's food for retaining his hair. ""No wonder I didn't lose my hair!"" Trump tweeted, sharing a 2018 tweet from former White House press secretary Ari Fleischer, with a news story claiming that a chemical in McDonald's fries may cure baldness. ""It doesn't work,"" wrote Fleischer, who is bald.",donald trump credit mcdonald food retain hair us president donald trump credit mcdonald food retain hair no wonder not lose hair trump tweet share tweet former white house press secretary ari fleischer news story claim chemical mcdonalds fry may cure baldness not work write fleischer bald
"Japan's 'Twitter killer' killed 9 people with their consent, his lawyers say","A 29-year-old Japanese man dubbed the 'Twitter killer' for luring his victims on social media admitted to murdering eight women and one man. However, his lawyers argued that his victims gave their consent to be killed as they had expressed suicidal thoughts. He is also accused of dismembering his victims and storing body parts in containers such as cooling boxes.",world,"Japan's 'Twitter killer' killed 9 people with their consent, his lawyers say. A 29-year-old Japanese man dubbed the 'Twitter killer' for luring his victims on social media admitted to murdering eight women and one man. However, his lawyers argued that his victims gave their consent to be killed as they had expressed suicidal thoughts. He is also accused of dismembering his victims and storing body parts in containers such as cooling boxes.",japans twitter killer kill people consent lawyer say year old japanese man dub twitter killer lure victim social medium admit murder eight woman one man however lawyer argue victim give consent kill express suicidal thought also accuse dismember victim store body part container cooling box
Israel approves law to limit protests amid COVID-19 lockdown,"Israeli Parliament approved a law that allows the government to limit mass protests during the country's second COVID-19 lockdown. The law bans Israelis from holding protests more than one kilometre from their homes. Notably, the law has been passed after thousands of Israelis continued to take part in weekly protests outside PM Benjamin Netanyahu's residence, demanding his resignation.",world,"Israel approves law to limit protests amid COVID-19 lockdown. Israeli Parliament approved a law that allows the government to limit mass protests during the country's second COVID-19 lockdown. The law bans Israelis from holding protests more than one kilometre from their homes. Notably, the law has been passed after thousands of Israelis continued to take part in weekly protests outside PM Benjamin Netanyahu's residence, demanding his resignation.",israel approve law limit protest amid covid lockdown israeli parliament approve law allow government limit mass protest countrys second covid lockdown law ban israelis hold protest one kilometre home notably law pass thousand israelis continue take part weekly protest outside pm benjamin netanyahus residence demand resignation
415 Pakistanis stranded in India amid COVID-19 pandemic return home,"As many as 415 Pakistani nationals who were stranded in India due to the coronavirus pandemic returned to Pakistan via Attari-Wagah border on Wednesday. The Pakistanis arrived at the border crossing with their COVID-19 test results, a police official said. A new mother, who came to India 16 months ago for her delivery, said, ""I'm taking a gift back home.""",world,"415 Pakistanis stranded in India amid COVID-19 pandemic return home. As many as 415 Pakistani nationals who were stranded in India due to the coronavirus pandemic returned to Pakistan via Attari-Wagah border on Wednesday. The Pakistanis arrived at the border crossing with their COVID-19 test results, a police official said. A new mother, who came to India 16 months ago for her delivery, said, ""I'm taking a gift back home.""",pakistani strand india amid covid pandemic return home many pakistani national strand india due coronavirus pandemic return pakistan via attari wagah border wednesday pakistanis arrive border crossing covid test result police official say new mother come india month ago delivery say take gift back home
Actual global COVID-19 deaths certainly higher than 10 lakh: WHO,"WHO chief Tedros Adhanom Ghebreyesus said that coronavirus has killed 10 lakh people but the real number is ""certainly higher"". He also said, ""Thousands more are fighting for their lives in hospitals all over the world."" Coronavirus has infected nearly 3.4 crore people globally, according to the Johns Hopkins University tracker.",world,"Actual global COVID-19 deaths certainly higher than 10 lakh: WHO. WHO chief Tedros Adhanom Ghebreyesus said that coronavirus has killed 10 lakh people but the real number is ""certainly higher"". He also said, ""Thousands more are fighting for their lives in hospitals all over the world."" Coronavirus has infected nearly 3.4 crore people globally, according to the Johns Hopkins University tracker.",actual global covid death certainly high lakh chief tedros adhanom ghebreyesus say coronavirus kill lakh people real number certainly high also say thousand fight life hospital world coronavirus infect nearly crore people globally accord johns hopkins university tracker
Oman becomes 16th country to have Air Bubble agreement with India,"Civil Aviation Minister Hardeep Singh Puri said that India has established a bilateral Air Bubble arrangement for flights with Oman, taking the number of such arrangements to 16. ""Carriers of India and Oman will operate between the two countries,"" he added. The US, the UK, Canada, France, Germany and Japan are among other countries with whom India formed an arrangement.",world,"Oman becomes 16th country to have Air Bubble agreement with India. Civil Aviation Minister Hardeep Singh Puri said that India has established a bilateral Air Bubble arrangement for flights with Oman, taking the number of such arrangements to 16. ""Carriers of India and Oman will operate between the two countries,"" he added. The US, the UK, Canada, France, Germany and Japan are among other countries with whom India formed an arrangement.",oman become th country air bubble agreement india civil aviation minister hardeep singh puri say india establish bilateral air bubble arrangement flight oman take number arrangement carrier india oman operate two country add us uk canada france germany japan among country india form arrangement
"Pak is death trap for human rights defenders, minorities: India at UN","Speaking at the 45th session of the UN Human Rights Council, Indian diplomat Pawan Badhe said Pakistan is a death trap for journalists, human rights defenders, social activists and religious and ethnic minorities. ""Incessant attempts to malign India in all international forums isn't going to change the fact that tens of thousands of minorities wouldn't stop fleeing Pakistan,"" he added.",world,"Pak is death trap for human rights defenders, minorities: India at UN. Speaking at the 45th session of the UN Human Rights Council, Indian diplomat Pawan Badhe said Pakistan is a death trap for journalists, human rights defenders, social activists and religious and ethnic minorities. ""Incessant attempts to malign India in all international forums isn't going to change the fact that tens of thousands of minorities wouldn't stop fleeing Pakistan,"" he added.",pak death trap human right defender minority india un speak th session un human rights council indian diplomat pawan badhe say pakistan death trap journalist human right defender social activist religious ethnic minority incessant attempt malign india international forum not go change fact ten thousand minority would not stop flee pakistan add
India announces state mourning on Oct 4 over Kuwaiti ruler's death,"India will observe a one-day state mourning on October 4 as a mark of respect to Amir of Kuwait, Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, who passed away on September 29, an official statement said. The National Flag will be flown at half-mast on all government buildings on that day and there will be no official entertainment, it added.",world,"India announces state mourning on Oct 4 over Kuwaiti ruler's death. India will observe a one-day state mourning on October 4 as a mark of respect to Amir of Kuwait, Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, who passed away on September 29, an official statement said. The National Flag will be flown at half-mast on all government buildings on that day and there will be no official entertainment, it added.",india announce state mourn oct kuwaiti rulers death india observe one day state mourn october mark respect amir kuwait sheikh sabah al ahmed al jaber al sabah pass away september official statement say national flag fly half mast government building day no official entertainment add
Biden's comments on Amazon deforestation disastrous: Brazil Prez,"Brazilian President Jair Bolsonaro on Wednesday termed Democratic candidate Joe Biden's call for a world effort to offer Brazil $20 billion to end deforestation in Amazon rainforest or face economic consequences a ""disastrous declaration"". Bolsonaro said that he doesn't accept ""bribes"" or ""coward threats"". ""My government is putting forward unprecedented action to protect the Amazon,"" he added.",world,"Biden's comments on Amazon deforestation disastrous: Brazil Prez. Brazilian President Jair Bolsonaro on Wednesday termed Democratic candidate Joe Biden's call for a world effort to offer Brazil $20 billion to end deforestation in Amazon rainforest or face economic consequences a ""disastrous declaration"". Bolsonaro said that he doesn't accept ""bribes"" or ""coward threats"". ""My government is putting forward unprecedented action to protect the Amazon,"" he added.",bidens comment amazon deforestation disastrous brazil prez brazilian president jair bolsonaro wednesday term democratic candidate joe bidens call world effort offer brazil billion end deforestation amazon rainforest face economic consequence disastrous declaration bolsonaro say not accept bribe coward threat government put forward unprecedented action protect amazon add
₹4.31 crore in cash found in Paris apartment cellar,"French Police are investigating the case of ₹4.31 crore (€5,00,000) in cash found in a suitcase inside the cellar of an apartment in Paris. The cash was discovered after the owner, a woman in her 50s, and a real estate agent were inspecting the property. The owner had inherited the apartment from her mother this year.",world,"₹4.31 crore in cash found in Paris apartment cellar. French Police are investigating the case of ₹4.31 crore (€5,00,000) in cash found in a suitcase inside the cellar of an apartment in Paris. The cash was discovered after the owner, a woman in her 50s, and a real estate agent were inspecting the property. The owner had inherited the apartment from her mother this year.",crore cash find paris apartment cellar french police investigate case crore cash find suitcase inside cellar apartment paris cash discover owner woman real estate agent inspect property owner inherit apartment mother year
